file_name,num_tokens,num_sentences,lexical_diversity,avg_sentence_length
"The Project Gutenberg eBook of Studies of Trees by J. J. Levison, M.F..txt",22332,2561,0.15305391366648755,16.783287778211637
"The Project Gutenberg e-Book of A Bird Calendar for Northern India, by Douglas Dewar.txt",20532,2054,0.2203876875121761,20.545277507302824
"The Project Gutenberg eBook of The Nests and Eggs of Indian Birds, Volume 1, by Allan Octavian Hume .txt",97894,10580,0.06503973685823441,19.089413988657846
"The Project Gutenberg eBook of The Imitation of Christ, by Thomas à Kempis.txt",32020,3179,0.12386008744534666,19.973891160742372
"The Project Gutenberg eBook of The Everlasting Man, by G. K. Chesterton..txt",48439,4115,0.15217077148578625,26.056136087484813
"The Project Gutenberg eBook of The Consolation of Philosophy of Boethius, by Boethius, trans. H.R. J.txt",20907,2101,0.23671497584541062,20.33698238933841
"The Project Gutenberg eBook of A Room With a View, by E. M. Forster.txt",29997,4337,0.19601960196019602,15.357389900853125
"The Project Gutenberg eBook of Fox's Book Of Martyrs, by Unknown..txt",122652,9249,0.10433584450314712,28.414315061087684
"The Expedition of Humphry Clinker, by Tobias Smollett.txt",67673,2871,0.1580246183854713,51.85231626610937
"The Project Gutenberg eBook of Birds of the Rockies, by Leander Sylvester Keyser.txt",33954,3859,0.18907934264004242,17.630215081627366
