file_name,num_tokens,num_sentences,lexical_diversity,avg_sentence_length
The Project Gutenberg E-text of The Insidious Dr. Fu-Manchu by Sax Rohmer.txt,34405,5508,0.1883737828803953,13.211147421931736
"THE SATYRICON, Complete.txt",45985,3493,0.22322496466238992,27.940166046378472
"The Project Gutenberg eBook of Metamorphosis, by Franz Kafka.txt",9848,731,0.2320268074735987,30.020519835841313
The Turn of the Screw | Project Gutenberg.txt,17081,1713,0.23136818687430477,24.6835960303561
"The Project Gutenberg eBook of A Journey To The Centre Of The Earth, by Jules Verne..txt",41069,5365,0.16272614380676423,15.993103448275862
"The Project Gutenberg eBook of Beyond Lies the Wub, by Philip K. Dick.txt",1310,402,0.5,6.711442786069652
"The Project Gutenberg eBook of The Decameron, Volume I, by Giovanni Boccaccio.txt",62810,3499,0.1320490367775832,39.698485281509
"The Project Gutenberg eBook of Dope, by Sax Rohmer.txt",44940,5084,0.16722296395193592,17.303894571203777
"The Project Gutenberg eBook of Dracula, by Bram Stoker.txt",68515,7592,0.11720061300445157,21.178740779768177
"Tales of Chinatown, by Sax Rohmer.txt",38021,4020,0.17850661476552432,19.80398009950249
